artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Vierre Cloud,https://www.instagram.com/vierrecloud/,vierrecloud,,,,,https://soundcloud.com/vierrecloud,vierrecloud,https://twitter.com/vierrecloud,vierrecloud,,
Captain Curtis,,,,,,,,,,,,
Jordan Grace,,,,,,,,,,,,
Sundeep Gosswami,https://www.instagram.com/sundeep_gosswami/,sundeep_gosswami,,,,,,,,,,
Danimal,,,,,,,,,,,,
8D Tunes,,,,,,,,,,,,
kirohta,,,,,,,,,,,,
High Beam,,,,,,,,,,,,
Miss Monique,,,,,,,,,,,,
Guaco,,,,,,,,,,,,
Roya,https://www.instagram.com/ohmyroya/,ohmyroya,https://www.tiktok.com/@ohmyroya,ohmyroya,https://www.youtube.com/@ohmyroya,@ohmyroya,,,,,https://www.facebook.com/ohmyroya,
Stereo Mc's,,,,,,,,,,,,
Dmnds,https://www.instagram.com/dmnds.music/,dmnds.music,,,,,,,,,,
Preetinder,,,,,,,,,,,,
Shop Boyz,,,,,,,,,,,,http://www.shopboyzonline.com/
Soundverb,,,,,,,,,,,,
J. Worra,https://www.instagram.com/jworra/,jworra,,,,,https://soundcloud.com/jworra,jworra,https://twitter.com/JWorra,JWorra,https://www.facebook.com/JWorra,https://jworra.com/
NILXRO,,,,,,,,,,,,
Ayase,https://www.instagram.com/ayase_0404/,ayase_0404,,,https://www.youtube.com/channel/UCvpredjG93ifbCP1Y77JyFA,UCvpredjG93ifbCP1Y77JyFA,,,https://twitter.com/ayase_0404,ayase_0404,,
Bombay Bicycle Club,,,,,,,,,,,,
Brutalismus 3000,https://www.instagram.com/brutalismus3000/,brutalismus3000,,,,,https://soundcloud.com/brutalismus-3000,brutalismus-3000,,,,
Goson,,,,,https://music.youtube.com/channel/UC9aCnEoZyTpCYrphM_Ce81g,UC9aCnEoZyTpCYrphM_Ce81g,https://soundcloud.com/gosonmusic,gosonmusic,,,,
Dyland & Lenny,,,,,,,,,,,,
Sunlike Brothers,,,,,,,,,,,,
Noga Erez,https://www.instagram.com/nogaerez/,nogaerez,https://www.tiktok.com/@nogaerez,nogaerez,https://www.youtube.com/channel/UC8jilbu-zFcknaZ5ah3C8NA,UC8jilbu-zFcknaZ5ah3C8NA,https://soundcloud.com/nogerz26,nogerz26,https://twitter.com/nogaerez,nogaerez,https://www.facebook.com/NogaErezMusic,https://nogaerez.com/
Dontcry,,,,,,,,,,,,
Jamback,,,,,,,,,,,,
Yeule,https://www.instagram.com/yeule/,yeule,,,https://www.youtube.com/channel/UCAAAQDyYsbuJbixvl1Z0k0w,UCAAAQDyYsbuJbixvl1Z0k0w,https://soundcloud.com/yeule,yeule,https://twitter.com/yeul_e,yeul_e,https://www.facebook.com/yeulemusic,https://www.yeule.jp/
RuPaul,,,,,,,,,,,,
Sailor & I,,,,,,,,,,,,
Machine Girl,https://www.instagram.com/machin3gir1/,machin3gir1,,,https://www.youtube.com/channel/UCqA-bpFdLWzugMIeK26UjnQ,UCqA-bpFdLWzugMIeK26UjnQ,https://soundcloud.com/machine-girl,machine-girl,https://twitter.com/machin3gir1,machin3gir1,https://www.facebook.com/machin3gir1,https://machin3gir1.com/
Duit,,,,,,,,,,,,
GUNSHIP,https://www.instagram.com/gunshipmusic/,gunshipmusic,,,https://www.youtube.com/channel/UCzBpenKPI-tTwMgNN-PT7bA,UCzBpenKPI-tTwMgNN-PT7bA,https://soundcloud.com/gunshipmusic,gunshipmusic,https://twitter.com/GUNSHIPMUSIC,GUNSHIPMUSIC,https://www.facebook.com/GUNSHIPMusic,https://www.gunshipmusic.com/
Jauz,https://www.instagram.com/jauzofficial/,jauzofficial,,,https://www.youtube.com/channel/UCoFl689sYMJfI1pZxWqlQgg,UCoFl689sYMJfI1pZxWqlQgg,https://soundcloud.com/jauzofficial,jauzofficial,https://twitter.com/jauzofficial,jauzofficial,https://www.facebook.com/JauzOfficial,http://jauzofficial.com/
Mandragora,,,,,,,,,,,,
White Lies,,,,,,,,,,,,
Gang Speed,,,,,,,,,,,,
Holly,,,,,,,,,,,,
Kickbait,,,,,,,,,,,,
Palastic,,,,,,,,,,,,
Ron van den Beuken,,,,,,,,,,,,http://www.ronvandenbeuken.com/
Captain Hollywood Project,,,,,,,,,,,,
Jalenrekt,,,,,,,,,,,,
HALUNA,,,,,,,,,,,,
Funky Qla,,,,,,,,,,,,
Suba,,,,,,,,,,,,
DJ Seinfeld,,,,,,,,,,,,
