artist_name,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url
Galee Galee,,,,,,,,,,,,
Shop Boyz,,,,,,,,,,,,
9th Wonder,,,,,,,,,,,,http://www.9thwonder.com/
Matt Corman,,,,,,,,,,,,
THEY.,,,,,,,,,,,,
DonGURALesko,,,,,,,,,,,https://www.facebook.com/djdziadzior,http://donguralesko.pl/
Shartnuss,,,,,,,,,,,,
Goson,,,,,https://music.youtube.com/channel/UC9aCnEoZyTpCYrphM_Ce81g,UC9aCnEoZyTpCYrphM_Ce81g,https://soundcloud.com/gosonmusic,gosonmusic,,,,
Fxrce,,,,,,,,,,,,
Manj Musik,,,,,,,,,https://twitter.com/MANJmusik,MANJmusik,,
DJ JL3 DA ZN,,,,,,,,,,,,
Dyland & Lenny,,,,,,,,,,,,
Gow Tribe,https://www.instagram.com/gow_muzik/,gow_muzik,,,,,,,,,,
Noga Erez,https://www.instagram.com/nogaerez/,nogaerez,https://www.tiktok.com/@nogaerez,nogaerez,https://www.youtube.com/channel/UC8jilbu-zFcknaZ5ah3C8NA,UC8jilbu-zFcknaZ5ah3C8NA,https://soundcloud.com/nogerz26,nogerz26,https://twitter.com/nogaerez,nogaerez,https://www.facebook.com/NogaErezMusic,https://nogaerez.com/
Awich,,,,,,,,,,,,
M.O.P.,,,,,,,,,,,,http://www.themashoutposse.com/
Dontcry,https://www.instagram.com/dontcry.beats/,dontcry.beats,,,https://music.youtube.com/channel/UCNBlM7owuIP5loBY-WaU7aQ,UCNBlM7owuIP5loBY-WaU7aQ,https://soundcloud.com/dontcrybby,dontcrybby,,,,
DJ CD 011,,,,,,,,,,,,
Self,https://www.instagram.com/self.is/,self.is,,,,,https://soundcloud.com/self-7,self-7,https://twitter.com/mattmahaffey,mattmahaffey,https://www.facebook.com/pages/sElf-Matt-Mahaffey/252145467309,http://self.is/
El Clooy,,,,,,,,,,,,
Afroto,,,,,,,,,,,,
Danny Towers,,,,,,,,,,,,
Kevin,,,https://www.tiktok.com/@kevinmacleod72,kevinmacleod72,https://www.youtube.com/channel/UCSZXFhRIx6b0dFX3xS8L1yQ,UCSZXFhRIx6b0dFX3xS8L1yQ,https://soundcloud.com/kevin-9-1,kevin-9-1,https://twitter.com/kmacleod,kmacleod,https://www.facebook.com/kmacleodmusic,https://freepd.com/
Jauz,,,,,,,,,,,,
Joe Budden,,,,,,,,,,,,
Liquid Silva,,,,,,,,,,,,
BCN,,,,,,,,,,,,
88-Keys,https://www.instagram.com/eightyocho/,eightyocho,,,https://www.youtube.com/user/LocksmithMusic,LocksmithMusic,https://soundcloud.com/88-keys,88-keys,https://twitter.com/eightyocho,eightyocho,https://www.facebook.com/eightyocho,
DJ Kayz,https://www.instagram.com/djkayz/,djkayz,,,https://www.youtube.com/channel/UCqfD5zDRFMd10Na5Uju07KA,UCqfD5zDRFMd10Na5Uju07KA,https://soundcloud.com/user-497595240,user-497595240,https://twitter.com/DJKAYZPARIS,DJKAYZPARIS,https://www.facebook.com/djkayzfb,
JVMVO,,,,,,,,,,,,
Tr.D,,,,,,,,,,,,
Captain Hollywood Project,,,,,,,,,,,,
HURRYKNG,,,,,,,,,,,,
Lil Supa,,,,,,,,,,,,
Jalenrekt,,,,,,,,,,,,
Lil Eazzyy,,,,,,,,,,,,
PARTYOF2,https://www.instagram.com/partyoftwo/,partyoftwo,https://www.tiktok.com/@partyof2,partyof2,https://www.youtube.com/channel/UC5DIvmwrBM96PN8OkP0W-fQ,UC5DIvmwrBM96PN8OkP0W-fQ,,,https://twitter.com/itspartyof2,itspartyof2,,https://www.partyof2.org/
Yasin,,,,,,,,,,,,
Kinny Zimmer,,,,,,,,,,,,
Trilha Sonora do Gueto,,,,,,,,,,,,
Mun-Ra,,,,,,,,,,,,
Pharoahe Monch,,,,,,,,,,,,
Plutonio,https://www.instagram.com/plutonio2765/,plutonio2765,,,,,,,https://twitter.com/plutonio2765,plutonio2765,,
Mila J,https://www.instagram.com/milaj/,milaj,,,https://www.youtube.com/channel/UCAvZORXwc7MYjCSRW1F-IDw,UCAvZORXwc7MYjCSRW1F-IDw,,,https://twitter.com/MilaJ,MilaJ,https://www.facebook.com/MilaJ,
Young Dro,,,,,,,,,,,,
Dj Renan da bl,,,,,,,,,,,,
sangiovanni,https://www.instagram.com/sangiovanni/,sangiovanni,https://www.tiktok.com/@sangiov,sangiov,https://www.youtube.com/channel/UCuBLQiTgxvwm3iCCkucFc6A,UCuBLQiTgxvwm3iCCkucFc6A,https://soundcloud.com/sangiovanni,sangiovanni,https://twitter.com/sangiovann1,sangiovann1,,
Sadiq,,,,,,,,,,,,
Zornoza,,,,,,,,,,,,
Hopsin,,,,,,,,,,,,
Reekado Banks,https://www.instagram.com/reekadobanks/,reekadobanks,,,https://www.youtube.com/channel/UC9gtxrBHZhEkpXSWfqwjLkg,UC9gtxrBHZhEkpXSWfqwjLkg,,,https://twitter.com/ReekadoBanks,ReekadoBanks,,
MPH,,,,,,,,,,,,
Colby O'Donis,,,,,,,,,,,,
MVRK,,,,,,,,,,,,
OTM,,,,,,,,,,,,
Kirko Bangz,,,,,,,,,,,,
ENCASSATOR,,,,,,,,,,,,
Pajel,,,,,,,,,,,,
SOB X RBE,https://www.instagram.com/sobxrbeofficial/,sobxrbeofficial,,,,,,,https://twitter.com/SOBxRBE,SOBxRBE,,https://www.sobxrbe.com/
Don Pero,,,,,,,,,,,,
Jake Miller,,,,,,,,,,,,
Lil Kid 777,,,,,,,,,,,,
Struggle Jennings,https://www.instagram.com/iamstruggle/,iamstruggle,,,https://www.youtube.com/channel/UC-1dnd5sdAQXHLCfDFTsFKg,UC-1dnd5sdAQXHLCfDFTsFKg,https://soundcloud.com/iamstruggle,iamstruggle,https://twitter.com/youngstrugg,youngstrugg,https://www.facebook.com/StruggleJennings,
New Gvme,,,,,,,,,,,,
Leka el Poeta,,,,,,,,,,,,
Arsh Heer,,,,,,,,,,,,
Sahxl,,,,,,,,,,,,
Yade Lauren,,,,,,,,,,,,
Token,,,,,,,,,,,,
abbot,,,,,,,,,,,,
Blue Wednesday,,,,,,,,,,,,
Josas,https://www.instagram.com/josas_officiel/,josas_officiel,,,https://www.youtube.com/@JosasOfficiel,@JosasOfficiel,,,,,,
Articolo 31,,,,,,,,,,,,
ADTurnUp,,,,,,,,,,,,
Mazza_l20,,,,,,,,,,,,
Remble,https://www.instagram.com/itsremble/,itsremble,,,https://www.youtube.com/channel/UC4GphXkpNHUd0mhZ7Jfkeww,UC4GphXkpNHUd0mhZ7Jfkeww,https://soundcloud.com/remble2,remble2,,,,
Yoshihisa Hirano,,,,,,,,,,,,
Die Fantastischen Vier,,,,,,,,,,,,
BILLA JOE,,,,,,,,,,,,
Rejjie Snow,,,,,,,,,,,,
Lil Kesh,,,,,,,,,https://twitter.com/lilkeshofficial,lilkeshofficial,,
Hugo,,,,,,,,,,,,
Piero 47,,,,,,,,,,,,
Solo Soul,,,,,,,,,,,,
Zaramay,https://www.instagram.com/zaramaybaby/,zaramaybaby,,,,,,,https://twitter.com/zaramay30652927,zaramay30652927,https://www.facebook.com/zaramaybaby,
Kollegah,,,,,,,,,,,,
Tay Iwar,,,,,,,,,,,,
Parv0,,,,,,,,,,,,
Fiji,https://www.instagram.com/f1j1/,f1j1,,,https://www.youtube.com/user/fijitheartist,fijitheartist,,,https://twitter.com/fijdog,fijdog,https://www.facebook.com/pages/Fiji/155929521223,http://fijitheartist.com/
Balti,,,,,,,,,,,,
Samantha Machado,,,,,,,,,,,,
Kaater,,,,,,,,,,,,
