artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Laila!,9788600d-a403-49e6-b5d9-35b5af74a1fd,7tHTnyrdTNM152slc8aQ3t,,,,,,,https://soundcloud.com/laila,laila,,,,,"spotify,soundcloud",
Kayla Nicole,3eee3114-83e2-11e9-be02-549f35161576,0jL5A3JBu46MsYrr5JMPuT,,,,,,,https://soundcloud.com/nicole-nicole-jones41,nicole-nicole-jones41,,,,,"spotify,soundcloud",
Chevy,4c5b98bc-c1c0-11e8-9fc9-525400009efb,0lhcAgqzhRZuhHTXJsilSc,,,,,,,https://soundcloud.com/chevyha,chevyha,,,https://www.facebook.com/Chevy-150397718303932,,"spotify,soundcloud+musicbrainz",
Sheryfa Luna,11e81bd0-e665-d382-b3d1-a0369fe50396,5BPQfQJaq5Hx0636gwk4uA,,,,,,,https://soundcloud.com/sheryfa-luna,sheryfa-luna,https://twitter.com/SheryfaOfficiel,SheryfaOfficiel,https://www.facebook.com/SheryfaLunaOfficiel,http://sheryfaluna.artistes.universalmusic.fr/,"spotify,soundcloud+musicbrainz",
Michaela Rózsa Růžičková,e041ad04-ff5f-11e9-8e4d-549f35141000,4aJLdYVDr0f2IZzUvvYjW4,,,,,,,,,,,,,spotify,
Mia Boyka,679fd24c-c3e9-11e9-a2f1-549f35161576,7lC9GiVHVMSIGt7yCQS0U5,https://www.instagram.com/miaboyka/,miaboyka,,,,,https://soundcloud.com/miaboyka,miaboyka,https://music.yandex.com/artist/6767066,6767066,,https://miaboyka.ru/,"spotify,soundcloud+musicbrainz",
Dany Calvario,11e83fe3-be76-a48c-b7de-aa1c026db3d8,7hieapEQgIf8bO2eadP1MS,,,,,,,https://soundcloud.com/danycalvario,danycalvario,,,,,"spotify,soundcloud",
Liana Malva,fcce2042-4bf0-11e9-9d77-e4434b2a489b,56plP53XqguNv08lDJUeTt,https://www.instagram.com/lianamalva/,lianamalva,,,,,https://soundcloud.com/lianamalva-sc,lianamalva-sc,,,https://www.facebook.com/LianaMalvaOficial,http://lianamalva.com/,"spotify,soundcloud+musicbrainz",
Shay,ab148438-71bd-11e9-a4f3-00163ec5a2fb,4gmgH3IgZoetXRskbdI02q,https://www.instagram.com/Shayizi/,Shayizi,,,,,https://soundcloud.com/shay-643807506,shay-643807506,https://twitter.com/shayizi,shayizi,https://www.facebook.com/Shayofficiel,,"spotify,soundcloud+musicbrainz",
La Zowi,11e81bce-55ad-c702-89fe-a0369fe50396,1jB62pOe5WpGiHOBDtKBBG,https://www.instagram.com/lazowi/,lazowi,,,,,https://soundcloud.com/lazowi,lazowi,https://twitter.com/lazowi69,lazowi69,,,"spotify,soundcloud+musicbrainz",
Fagata,ffde7630-5d6d-408e-8de0-39cd9b77fc26,0zzP72k8pbLySGH1TPUZW8,,,,,,,https://soundcloud.com/fagataaa,fagataaa,,,,,"spotify,soundcloud",
Chloe x Halle,11e81bbe-0592-cc8c-a8b8-a0369fe50396,0AsThoR4KZSVktALiNcQwW,,,,,,,https://soundcloud.com/chloexhalle,chloexhalle,,,,,"spotify,soundcloud",
JGrrey,11e83fe9-654f-e566-9a0a-a0369fe50396,66rDbD3tWR3M1uNuIaDAGx,https://www.instagram.com/jgrrey/,jgrrey,,,,,https://soundcloud.com/jgrrey,jgrrey,https://twitter.com/JGrrey13,JGrrey13,https://www.facebook.com/JGRREY,http://jgrrey.com/,"spotify,soundcloud+musicbrainz",
Samara Cyn,c7158dce-0661-11ea-8762-549f35141000,4nqQTosM2Mbg7iRjvJU0N0,,,,,,,https://soundcloud.com/samaracynmusic,samaracynmusic,,,,,"spotify,soundcloud",
Instasamka,aa78da28-7ef7-11e9-acdb-549f35161576,2SeRP5iAIhVec4azKHJzjX,https://www.instagram.com/instasamka/,instasamka,,,,,https://soundcloud.com/instasamka,instasamka,,,https://www.facebook.com/instasamka,http://instasamka.ru/,"spotify,soundcloud+musicbrainz",
Kenza Farah,11e81bc9-78f1-b8fe-a3fd-a0369fe50396,6WBf0WXqyBkCCYAEPUeDxn,,,,,,,https://soundcloud.com/kenza-farah-official,kenza-farah-official,,,,http://www.kenza-farah.fr/,"spotify,soundcloud+musicbrainz",
Shells,11e81bce-c96b-8792-bb7f-a0369fe50396,1ZwuShKjJItDJez0aDCsxN,,,,,,,https://soundcloud.com/shells-200756937,shells-200756937,https://twitter.com/shellsmusicnet,shellsmusicnet,,http://www.shellsmusic.com/,"spotify,soundcloud+musicbrainz",
Jolle,30578162-c238-11e8-b26f-525400009efb,6iBB08eTj4dxsbpaXIUJdQ,https://www.instagram.com/jolle.ptk/,jolle.ptk,https://www.tiktok.com/@jolle.ptk,jolle.ptk,,,https://soundcloud.com/juli_lotus,juli_lotus,,,,,"spotify,soundcloud+musicbrainz",
