artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Kat Mandu,11e81bbd-fc1a-1656-8324-a0369fe50396,0HL28IcuvRfuugsACZhiYC,,,,,,,https://soundcloud.com/katmandusoundss,katmandusoundss,,,,,"spotify,soundcloud",
Kid City,ae04f104-4e5a-4e87-96be-de095b19d676,3PbK40ME2x1r5rforF7Cbp,,,,,,,https://soundcloud.com/mcfcyonko,mcfcyonko,,,,,"spotify,soundcloud",
LuniqSA,8b3a5cca-ec3c-43db-a8b3-c53fde21b7c9,5AdZvZxsNBuswEf9TV7wPU,,,,,,,https://soundcloud.com/luniq-time-will-tell-ep,luniq-time-will-tell-ep,,,,,"spotify,soundcloud",
KiKi Layne,1fa74087-e942-4091-8c4b-e724d13bc95f,6XHc5bOPo6tCfP92bbhNa4,,,,,,,https://soundcloud.com/llikikiill,llikikiill,,,,,"spotify,soundcloud",
Nacho Division,11e81bc7-98ce-5eae-a2c6-a0369fe50396,0d89akHUl2qesYqiD7UK1Y,,,,,,,https://soundcloud.com/nachodivision,nachodivision,,,,,"spotify,soundcloud",
Bryce Lamar,b3b25808-2303-11e9-8066-00163ec5a2fb,1MkRTerXWHORxtSYnLnIqI,,,,,,,https://soundcloud.com/brycelamar,brycelamar,,,,,"spotify,soundcloud",
Rakeem,767e27dc-c24b-11e8-b817-525400009efb,3PyWEKLWI0vHPmoNrIX0QE,,,,,,,https://soundcloud.com/rakeemisme,rakeemisme,,,,,"spotify,soundcloud",
Ralph Myerz,11e81bc3-0d26-974e-a177-a0369fe50396,7AM82auh7kk3c7kJVUc73n,,,,,,,https://soundcloud.com/ralph-myerz,ralph-myerz,,,,,"spotify,soundcloud",
kemt,11e81bc4-14f8-67a8-ac36-a0369fe50396,2LCFqtl3a3rO8KEcIPAUrX,,,,,,,https://soundcloud.com/kemtt,kemtt,,,,,"spotify,soundcloud",
Tim Grand,afa670e7-1abb-4994-bca2-b8180d9e33cc,5s7hwju24qO7raJrUEYsON,,,,,,,https://soundcloud.com/timgrand-music,timgrand-music,,,,,"spotify,soundcloud",
The Crunchers,11e83fe3-72de-05b0-9817-aa1c026db3d8,5g4CZ5qDQQf7nFOoErMAIS,,,,,,,https://soundcloud.com/the-crunchers,the-crunchers,,,,,"spotify,soundcloud",
Manu Di Noto,478e398b-96c9-4fc1-b524-fdac02752315,4n8SGwhNN1kcbBOC4h6L5L,,,,,,,https://soundcloud.com/manudinotodj,manudinotodj,,,,,"spotify,soundcloud",
Adz,4e761dd3-a6ee-4fbb-ae0a-80c43c2dd14f,3LKrYMU7uSlrqt6QbjOmw3,,,,,,,https://soundcloud.com/adzdj22710,adzdj22710,,,,,"spotify,soundcloud",
ZΩRBA,7f1c60cd-bbf3-4a4b-a024-951274a912a9,6Ws3dOGjmr0Na9n8aTzHgw,,,,,,,,,,,,,spotify,
Andeon,992f0588-6c0b-457b-ba1f-89c26316d8f9,6qKCgB1TJhzNDT3I3V8JaZ,,,,,,,https://soundcloud.com/andeonmusic,andeonmusic,,,,,"spotify,soundcloud",
your friend polly,3b93c255-fd4a-4fbb-9c7c-4fd6c07ef5ff,7BMiTAo49FakImrjEyEFFN,,,,,,,https://soundcloud.com/jippy_dude,jippy_dude,,,,,"spotify,soundcloud",
Mastrovita,11e81bbb-11b9-8db4-937c-a0369fe50396,4XU8dozOz0okhDgr9Fq3eN,,,,,,,https://soundcloud.com/mastrovita,mastrovita,,,,,"spotify,soundcloud",
Acos CoolKAs,11e81bce-9476-0472-a034-a0369fe50396,06RU4cNUIDVNNokWruyx7z,,,,,,,https://soundcloud.com/acoscoolkas,acoscoolkas,,,,,"spotify,soundcloud",
Yvan & Dan Daniel,11e81bc8-3732-8b56-b45a-a0369fe50396,08zAW0aObyylKhxs8QJdf9,,,,,,,https://soundcloud.com/yvandandaniel,yvandandaniel,,,,,"spotify,soundcloud",
Tayri,35f5397a-9d5c-11e9-a42c-e4434b2a4898,4Q3oM6gKZdJx0tQl6oBZgT,,,,,,,https://soundcloud.com/tayrimusic,tayrimusic,,,,,"spotify,soundcloud",
Richard Reynolds,11e81bcd-51f8-5006-826f-a0369fe50396,6tcOATPUS7AQqjhA4fhS1g,,,,,,,https://soundcloud.com/richardreynolds,richardreynolds,,,,,"spotify,soundcloud",
Elias Kaskinen & Päivän Sankarit,11e81bbe-ac7e-267c-a85c-a0369fe50396,2KDatnX1EbQhSUXztNEX8Y,,,,,,,,,,,,,spotify,
Joshua Morse,11e81bbb-26b1-6aca-ba8e-a0369fe50396,1dxOwy6v6oyNSoj7GqhRNx,,,,,,,https://soundcloud.com/joshuamorse,joshuamorse,,,,,"spotify,soundcloud",
DJ Skinhead,11e81bbd-e975-2d56-bf74-a0369fe50396,4qGkH9mxSnMg3U5oHGYiW5,,,,,,,https://soundcloud.com/djskinhead,djskinhead,,,,,"spotify,soundcloud",
macaroom,e888862a-c65a-11e8-aa3d-549f35161576,6BxYGUdJ37urJYcjspBUyw,,,,,,,https://soundcloud.com/macaroom,macaroom,,,,,"spotify,soundcloud",
Juan Soto,11e81bc9-c6a0-41f6-b812-a0369fe50396,1q3j8nVNGJIUXQ0VOnjNIN,,,,,,,https://soundcloud.com/juansotomx,juansotomx,,,,,"spotify,soundcloud",
KillaGraham,11e81bbb-97cf-fc62-8bb6-a0369fe50396,1bTozP3jBtV8kxyHOnWXKQ,,,,,,,https://soundcloud.com/killagraham,killagraham,,,,,"spotify,soundcloud",
Warrior Queen,11e81bc8-1afe-6d24-89fb-a0369fe50396,6MGlEnPgJhFkC8P8DdKtsT,,,,,,,https://soundcloud.com/warrior-queen-106271239,warrior-queen-106271239,,,,,"spotify,soundcloud",
Kevinhilfiger,8f11c268-3473-11ea-8a83-e4434b2a4898,4hUC3RNJ99Sn4EN1yOtBdB,,,,,,,https://soundcloud.com/kevinsavior,kevinsavior,,,,,"spotify,soundcloud",
Asis,356ffc1a-54b9-11e9-b9aa-549f35141000,2DaxqgrOhkeH0fpeiQq2f4,,,,,,,https://soundcloud.com/konstantin-kotelnikov-569548546,konstantin-kotelnikov-569548546,,,,,"spotify,soundcloud",
DTAH,973a3493-7ad2-41f7-a492-be55c4eeb746,1kIEymCDScCiUkvTek1bns,,,,,,,https://soundcloud.com/david-humphries-991423954,david-humphries-991423954,,,,,"spotify,soundcloud",
Emil Lonam,d5d246ec-c605-11e8-8bbc-549f35141000,0eJbpPFhB19EvgEmYBIwLG,,,,,,,https://soundcloud.com/emil-lonam-526044428,emil-lonam-526044428,,,,,"spotify,soundcloud",
WEBTON,62c0eb85-3d35-463d-aafd-d081d95417ff,2kpWGyfk84qkDQYhsGQ4hI,,,,,,,https://soundcloud.com/webtonphonk,webtonphonk,,,,,"spotify,soundcloud",
VAND3ST,60a0760a-c646-11e8-9a76-549f35161576,3j4YRly2MFWKsiCl8Ebn1b,,,,,,,https://soundcloud.com/vand3st-official,vand3st-official,,,,,"spotify,soundcloud",
Manusa,57e7ff75-87a9-4f4b-ab75-92a0c26cb991,68CwBoMiMD6piKYv9tAfrP,,,,,,,https://soundcloud.com/kuja1990,kuja1990,,,,,"spotify,soundcloud",
Majlo,11e81bbc-a702-4702-b127-a0369fe50396,0B7w44uFvtmB84UJcJ4WeO,,,,,,,https://soundcloud.com/majlo-music,majlo-music,,,,,"spotify,soundcloud",
Toni Leys,11e81bc2-439d-f49e-92e0-a0369fe50396,6DNM2EfbLyKVLhHlvF5Zp4,,,,,,,https://soundcloud.com/tonileys,tonileys,,,,,"spotify,soundcloud",
Nayobe,11e81bc6-dbd4-f556-8357-a0369fe50396,1wW7rrfyuyKuEx11eGnd5d,,,,,,,https://soundcloud.com/user929009444,user929009444,,,,,"spotify,soundcloud",
Dabi,14173292-f9bd-11e8-ab26-549f35161576,7lZauDnRoAC3kmaYae2opv,,,,,,,https://soundcloud.com/user-763748668-858093249,user-763748668-858093249,,,,,"spotify,soundcloud",
Atiya Anisha,a7440715-ea3c-44db-8910-2cf8df419315,5jN4aPTzYnCmYzKxd3v7x7,,,,,,,https://soundcloud.com/atiyaanisha,atiyaanisha,,,,,"spotify,soundcloud",
Oxytocin,11e81bd1-1c08-1f40-ab7b-a0369fe50396,0le0CRnwURmfjtBbYLPLxv,,,,,,,https://soundcloud.com/oxytocinmusicofficial,oxytocinmusicofficial,,,,,"spotify,soundcloud",
Monsieur Adi,11e81bc3-b52c-4c2c-885f-a0369fe50396,4KF0B66rZU4yV2hruz7YN4,,,,,,,https://soundcloud.com/mnsradi,mnsradi,,,,,"spotify,soundcloud",
Alex Avenues,21499fda-1815-45c7-b9c2-51203e3b3003,1t7nV0FfnKtXsouPvSV87D,,,,,,,https://soundcloud.com/alexavenues,alexavenues,,,,,"spotify,soundcloud",
Aleph,11e83fed-5fe7-fc9a-8945-aa1c026db3d8,2ncTglxMHKmCzBKckfzOEv,,,,,,,https://soundcloud.com/aleph_sound,aleph_sound,,,,,"spotify,soundcloud",
Hit'n'Hide,11e81bbc-8d88-033e-b43d-a0369fe50396,1URhg7M0ubegdPUGvwhEN8,,,,,,,https://soundcloud.com/m-nh-hi-n-925974237,m-nh-hi-n-925974237,,,,,"spotify,soundcloud",
D-FRA,4d330649-cba2-424f-917e-a98f0ec8fee4,7rG9IRaipB3DZ8rZupOFXG,,,,,,,https://soundcloud.com/egor-kozhevnikov-397443588,egor-kozhevnikov-397443588,,,,,"spotify,soundcloud",
