artist_name,soundcharts_uuid,spotify_id,instagram_url,instagram_handle,tiktok_url,tiktok_handle,youtube_url,youtube_channel_id,soundcloud_url,soundcloud_handle,twitter_url,twitter_handle,facebook_url,website_url,lookup_status,error_message
Romare,11e81bc3-9fb2-d38e-8a52-a0369fe50396,6d1HqiWNEKV9zFqQM9WeYo,,,,,,,https://soundcloud.com/romare,romare,,,,,"spotify,soundcloud",
Galdive,88c33c7e-2b92-11e9-a86f-801844edfa71,0aMrhUHnOzfiPcMc2PGiaT,,,,,,,https://soundcloud.com/galdive,galdive,,,,,"spotify,soundcloud",
Havoc,11e81bca-7c1a-001c-9409-a0369fe50396,6UnvX7Zx85VNjOpLdaq49W,,,,,,,https://soundcloud.com/ahmet-kaan-acar-698493540,ahmet-kaan-acar-698493540,,,,,"spotify,soundcloud",
Dj Rehan,11e83fe6-2d95-c7ce-8e21-a0369fe50396,65Kc7tMrZdlUzHzluFTpIl,,,,,,,https://soundcloud.com/rehanm-khan,rehanm-khan,,,,,"spotify,soundcloud",
Lwah Ndlunkulu,8641d189-7e17-4ca1-8c23-9444490ae7f5,2h9NlcdGxIEnnh5aQuSeZ1,,,,,,,https://soundcloud.com/lwahndlunkulu,lwahndlunkulu,,,,,"spotify,soundcloud",
Kav Verhouzer,11e81bbf-bf9c-98e6-a221-a0369fe50396,1yYBD4cVxCxXQXi4QGZfSo,,,,,,,https://soundcloud.com/kavverhouzer,kavverhouzer,,,,,"spotify,soundcloud",
Meet,2b6567cc-fb0a-11e8-9890-549f35161576,5WRElKaZsn1tGnrgmJVAeO,,,,,,,https://soundcloud.com/meet1020,meet1020,,,,,"spotify,soundcloud",
different spaces,b1e2dc34-4be7-4cde-84dd-56f5e2e5b393,5TGuPLjK2IVw8eDuJ9oZ1K,,,,,,,https://soundcloud.com/user-865128612,user-865128612,,,,,"spotify,soundcloud",
George FitzGerald,11e81bd2-289e-75e6-ac92-a0369fe50396,3KOHpygRuo1ruQAbEneR3t,,,,,,,https://soundcloud.com/george-fitzgerald,george-fitzgerald,,,,,"spotify,soundcloud",
Borys LBD,11e83fed-f1c4-de9e-8ce3-a0369fe50396,0pxcJDyDV7PVKfmFFMgGpy,,,,,,,https://soundcloud.com/boryslbd,boryslbd,,,,,"spotify,soundcloud",
TORA,11e81bce-5015-b0fc-b69c-a0369fe50396,7KGI0OwY8iAL5rI5p47YyK,,,,,,,https://soundcloud.com/toramusic,toramusic,,,,,"spotify,soundcloud",
Inan,f9874eee-c474-11e8-8151-525400009efb,4oI5YoRw5Brc56oaK0JYAG,,,,,,,https://soundcloud.com/user-317415979,user-317415979,,,,,"spotify,soundcloud",
Tangerine Dream,11e81bbf-2946-806e-b737-a0369fe50396,1BGN1IdyiSR0ZYrkoKNchl,,,,,,,https://soundcloud.com/tangerinedreamofficial,tangerinedreamofficial,,,,,"spotify,soundcloud",
Mike Emilio,11e83fe5-c611-e6be-968a-a0369fe50396,0ijmTKTGsjqOXfL5mWgUXC,,,,,,,https://soundcloud.com/mikeemilio,mikeemilio,,,,,"spotify,soundcloud",
ropsu,412e32c9-21a2-4bf2-9704-1acbc898fb0e,7eIvLQZT0QSY7i6ElGjILg,,,,,,,https://soundcloud.com/treborpeace,treborpeace,,,,,"spotify,soundcloud",
CreativeWaves,0c131132-2a5b-45e9-82a6-bc07a60f4423,6ckEar8o3QDbpIK520uRyx,,,,,,,https://soundcloud.com/user-13289039,user-13289039,,,,,"spotify,soundcloud",
Party Animals,11e81bca-a381-88a0-93e7-a0369fe50396,0vMVgeMxck5F8aUExad9GW,,,,,,,https://soundcloud.com/party-animals-music,party-animals-music,,,,,"spotify,soundcloud",
