artist_name,soundcharts_uuid
Trilha Sonora do Gueto,11e81bc2-7e8a-d3b0-bf6d-a0369fe50396
Mun-Ra,11e83fe8-6a02-a6da-8660-aa1c026db3d8
Pharoahe Monch,11e81bce-0e58-55ac-a9db-a0369fe50396
Plutonio,11e81bd1-aff5-8710-8189-a0369fe50396
Mila J,11e81bbb-0d99-efa8-bfdc-a0369fe50396
Young Dro,11e81bd3-36df-75b4-ab25-a0369fe50396
Dj Renan da bl,42a7be6f-f384-40b0-88e0-67dd878748f0
sangiovanni,e12e44ec-ac03-4323-b1c6-3a5ee53637c9
Sadiq,11e83fe1-386b-7dec-894d-aa1c026db3d8
Zornoza,c3206c6a-c658-11e8-b1fc-549f35161576
Hopsin,11e81bd2-2695-2d94-b623-a0369fe50396
Reekado Banks,11e81bd2-b452-2f60-976a-a0369fe50396
MPH,1ce68e34-bc2f-11e8-8636-525400009efb
Colby O'Donis,11e81bca-5c7f-0cfc-8f16-a0369fe50396
MVRK,11e81bd1-a497-416a-b223-a0369fe50396
OTM,11e83fe5-cce2-97a4-b729-a0369fe50396
Kirko Bangz,11e81bcb-55fc-7af8-a9f7-a0369fe50396
ENCASSATOR,af69333a-e00e-4629-a2d8-86fafead84c8
Pajel,d9ebd491-5d65-41a5-9b3d-32e8d6c5e759
SOB X RBE,11e81bc9-cc07-8848-9c1a-a0369fe50396
Don Pero,d4dbca5a-ec43-11e9-83db-e4434b16cb78
Jake Miller,11e81bd1-820f-e8e0-9733-a0369fe50396
Lil Kid 777,5d851f46-ab26-11e9-8868-549f35161576
Struggle Jennings,ca23061c-b8ed-11e8-a96b-525400009efb
New Gvme,c34268af-64b9-4b25-8215-866705659037
Leka el Poeta,11e81bc1-8879-7b2a-a194-a0369fe50396
Arsh Heer,6cad83e4-3a07-11ea-9dbe-801844ee83a6
Sahxl,1e264786-df7e-11e8-92f6-549f35141000
Yade Lauren,11e81bc3-09b1-118e-9cb8-a0369fe50396
Token,2b2724ae-e533-11e8-9db9-549f35161576
abbot,07d88720-003d-11e9-8b5a-549f35161576
Blue Wednesday,11e83fea-b314-bd66-9e31-a0369fe50396
Josas,96873e38-e260-48c7-aec9-4d4b559865e0
Articolo 31,11e81bbb-f6f0-e8c8-a294-a0369fe50396
ADTurnUp,ce7a1196-b375-452b-af17-a4f70e0caadc
Mazza_l20,383e75e5-b7da-4c1b-849d-f5531179bc1c
Mazza_l20,f251149d-6b74-427f-b36a-00191a2af5e8
Remble,818eaef2-47e9-11e9-97be-549f35141000
Yoshihisa Hirano,4e882aca-4c43-11e9-a8ac-e4434b2a489b
Die Fantastischen Vier,11e81bc0-62d3-311e-bcc2-a0369fe50396
BILLA JOE,3dcc41e6-b8d5-11e8-8e24-525400009efb
Rejjie Snow,11e81bc7-0b8f-7514-ae9d-a0369fe50396
Lil Kesh,11e81bcd-5d1d-0f44-ae3c-a0369fe50396
Hugo,11e81bc7-7720-39a8-96c3-a0369fe50396
Piero 47,edc120c8-0ff6-4df8-a735-dfcd13dde40d
Solo Soul,491e4aa0-c364-11e8-8144-525400009efb
Zaramay,db98b0da-1023-11e9-bafc-00163ec5a2fb
Kollegah,11e81bcb-1e3f-2156-af10-a0369fe50396
Tay Iwar,11e83fec-3688-4298-b10b-a0369fe50396
Parv0,ab07907e-d45c-11e8-bf8c-549f35161576
Fiji,11e81bc3-b5cf-ac3c-a361-a0369fe50396
Balti,11e81bc8-a34c-6c80-a736-a0369fe50396
Samantha Machado,4ca551c6-b8df-11e8-a2a2-525400009efb
Kaater,fdb3d9ea-4657-11ea-be7a-e4434b2a4898
Domiziana,00121693-e5bb-4fab-b6b3-f6031cae4176
Wooli,11e81bbe-e009-ccc6-a9d5-a0369fe50396
Saint Etienne,11e81bc8-c5d9-2086-96d4-a0369fe50396
Kwesta,11e81bcc-7f05-d150-9019-a0369fe50396
Loofy,fec1e4dd-482a-4d8a-9e1c-9e6fdce3c572
3LAU,11e81bc7-741f-f144-93ae-a0369fe50396
Opał,508c6a98-c63d-11e8-abb3-549f35141000
Skip Marley,11e81bca-eec5-3082-8a3f-a0369fe50396
Chilla,11e81bc2-3542-fd22-86b4-a0369fe50396
AZ,11e81bbb-614c-9326-82d3-a0369fe50396
Ethan Ross,45263e5a-dcd0-11e8-9405-549f35161576
antransax,5c97d1d4-18f7-4749-b4e3-98cb74dc472a
Sam Austins,11e81bc8-2f3c-1f20-8707-a0369fe50396
Dave East,11e81bbb-3891-2014-bdb1-a0369fe50396
Cupid,11e81bc9-0ea4-9e4e-8227-a0369fe50396
Bino Rideaux,11e81bcd-4939-6bc6-845d-a0369fe50396
Best,4a94051a-b8d7-11e8-923c-525400009efb
NGC Daddy,0b9ee9e8-0790-11ea-a153-801844edfa71
Pedro Qualy,3ddd13fe-b7f4-11e8-ad04-525400009efb
Kike Pavón,11e81bcd-f64b-ee6a-b3ad-a0369fe50396
Arte Elegante,11e83fe4-e617-a094-9b9d-a0369fe50396
The Bucketheads,11e81bcc-c94e-4436-99fb-a0369fe50396
Remers,48478cbc-fa82-401c-885e-a541484ab661
Coup,11e83fe7-8211-3f58-b770-a0369fe50396
smokedope2016,28f84d7f-8a68-467a-81dc-e64bddf7f398
Phenom,11e83fe2-bfb1-5898-bbaf-aa1c026db3d8
Dilated Peoples,11e81bcb-481c-251e-b4d2-a0369fe50396
MUPP,8e542dd6-d627-4460-9611-487673a522bb
Deep Bajwa,a94e92c5-df80-4f55-8bd3-1305782b23bc
Darin,11e81bc2-7675-af38-8738-a0369fe50396
EMF,11e81bc9-58c8-4e8a-883d-a0369fe50396
Marcello Tahitoe,11e83fe7-657c-2f06-bd0d-aa1c026db3d8
MBL_,0ea99ec3-4536-47db-8d91-4358f6f2731f
Doulkha,4f7189a4-636d-11e9-9bd6-e4434b16cb7a
Craig Mack,11e81bbb-50f3-95ba-ae50-a0369fe50396
Curse One,11e81bc0-f9ad-f8f8-a773-a0369fe50396
fnonose,8498c412-6291-4e2c-9707-8f5c75f57c73
Mystikal,11e81bc3-98ac-4eda-9b18-a0369fe50396
DJ-MK,5714a451-d118-48cd-8592-5b3353c49d62
HASN,15d27efe-e0d2-414a-a9e8-62ed78956c39
Kat Dahlia,11e81bc9-2f8b-db5e-96dd-a0369fe50396
Lado Sul,b901b8bc-c3f4-11e8-92eb-525400009efb
Mallrat,11e81bc3-0e91-2b26-8d93-a0369fe50396
Adventure Club,11e81bcb-0474-e4cc-b4bb-a0369fe50396
BnP,16da1785-9756-4eaf-9376-ed8288c9012f
SCXR SOUL,c515c135-a847-403b-b8a0-07800e5d1d6f
TX2,63f92bd6-ff89-11e8-8fe6-549f35161576
Beauty Brain,11e81bd2-4595-ac8c-a15a-a0369fe50396
Majan,11e81bc3-b596-3f38-99a4-a0369fe50396
